,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
14241,CCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600036,600036,600036,600036,14241
14242,CCCCOc1ccc(NC(=O)Oc2ccc(F)cc2)cc1,,600037,600037,600037,600037,14242
14243,N#Cc1ccc2[nH]cc(CCC3CCCCN3)c2c1,,600086,600086,600086,600086,14243
14244,Cc1ccc(CN2CCNC2=S)cc1,,600134,600134,600134,600134,14244
14245,COc1ccc(CN2CCNC2=S)cc1,,600136,600136,600136,600136,14245
14246,CCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2)cc1,,600186,600186,600186,600186,14246
14247,CCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600187,600187,600187,600187,14247
14248,CCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600188,600188,600188,600188,14248
14249,CCC(=O)OC1=CC2=C3c4ccc(OC(=O)CC)cc4OCC3(O)CC2=CC1=O,,600189,600189,600189,600189,14249
14250,CN(C)C(=O)OC1=CC2=C3c4ccc(OC(=O)N(C)C)cc4OCC3(O)CC2=CC1=O,,600191,600191,600191,600191,14250
14251,CCN(CC)C(=O)OC1=CC2=C3c4ccc(OC(=O)N(CC)CC)cc4OCC3(O)CC2=CC1=O,,600192,600192,600192,600192,14251
14252,COC1=CC2=C3c4ccc(OC)cc4OCC3(O)CC2=CC1=O,,600194,600194,600194,600194,14252
14253,Cc1ccc(CN2CCCNC2=S)cc1,,600205,600205,600205,600205,14253
14254,COc1ccc(CN2CCCNC2=S)cc1,,600207,600207,600207,600207,14254
14255,CCc1ccc(CN2CCCNC2=S)cc1,,600208,600208,600208,600208,14255
14256,CC(C)c1ccc(CN2CCCNC2=S)cc1,,600209,600209,600209,600209,14256
14257,N#Cc1ccc2[nH]cc(CC[C@H]3C[C@@H](Cc4ccccc4)CCN3)c2c1,,600242,600242,600242,600242,14257
14258,N#Cc1ccc2[nH]cc(CCC3CCCN3)c2c1,,600245,600245,600245,600245,14258
14259,CCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600254,600254,600254,600254,14259
14260,CCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600256,600256,600256,600256,14260
14261,CCCCCCCCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1,,600257,600257,600257,600257,14261
14262,CCOC1=CC2=C3c4ccc(OCC)cc4OCC3(O)CC2=CC1=O,,600260,600260,600260,600260,14262
14263,Cc1ccc(CN2CCNC2=O)cc1,,600277,600277,600277,600277,14263
14264,COc1ccc(CN2CCNC2=O)cc1,,600279,600279,600279,600279,14264
14265,Cc1ccc(CN2CCCNC2=O)cc1,,600347,600347,600347,600347,14265
14266,COc1ccc(CN2CCCNC2=O)cc1,,600349,600349,600349,600349,14266
14267,CCc1ccc(CN2CCCNC2=O)cc1,,600350,600350,600350,600350,14267
14268,CC(C)c1ccc(CN2CCCNC2=O)cc1,,600351,600351,600351,600351,14268
14269,CCCCOc1ccc(CNC(=O)Oc2cccc(Cl)c2)cc1,,600399,600399,600399,600399,14269
14270,CCCCOc1ccc(CNC(=O)Oc2ccc(F)cc2F)cc1,,600400,600400,600400,600400,14270
14271,CCCCOc1ccc(CNC(=O)Oc2ccccc2F)cc1,,600401,600401,600401,600401,14271
14272,CCCCOc1ccc(CNC(=O)Oc2cccnc2)cc1,,600402,600402,600402,600402,14272
14273,CCCCOc1ccc(CNC(=O)Oc2ccc(F)cc2)cc1,,600403,600403,600403,600403,14273
14274,CCOc1ccc(NC(=O)ON=C(C)C)cc1,,600473,600473,600473,600473,14274
14275,CCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600474,600474,600474,600474,14275
14276,CCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600475,600475,600475,600475,14276
14277,CCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600476,600476,600476,600476,14277
14278,CCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600477,600477,600477,600477,14278
14279,CCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600478,600478,600478,600478,14279
14280,CCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600479,600479,600479,600479,14280
14281,CCC1=C(OC)C(=O)C2=C(NCCS2(=O)=O)C1=O,,600520,600520,600520,600520,14281
14282,CCC1=C(OC)C(=O)C2=C(C1=O)S(=O)(=O)CCN2,,600521,600521,600521,600521,14282
14283,CCCCCCCCC1=C(OC)C(=O)C2=C(NCCS2(=O)=O)C1=O,,600522,600522,600522,600522,14283
14284,CCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600542,600542,600542,600542,14284
14285,CCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600543,600543,600543,600543,14285
14286,CCCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600544,600544,600544,600544,14286
14287,CCCCCCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,,600545,600545,600545,600545,14287
14288,CCCCCCCCC1=C(OC)C(=O)C2=C(C1=O)S(=O)(=O)CCN2,,600601,600601,600601,600601,14288
14289,CCCCCCCCCCCCCCC1=C(OC)C(=O)C2=C(NCCS2(=O)=O)C1=O,,600602,600602,600602,600602,14289
14290,CCCCCCCCCCCCCCC1=C(OC)C(=O)C2=C(C1=O)S(=O)(=O)CCN2,,600603,600603,600603,600603,14290
